"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSFI","WSFI_ATTRIBUTES"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-04-13","1.79",",,T","0.00",",,T","0.0",",,T","45",",,T","58",",,T","34",",,T","36",",,T","0.0",",,T","11.2",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-04-14","1.57",",,T","0.00",",,T","0.0",",,T","44",",,T","57",",,T","33",",,T","45",",,T","0.0",",,T","9.2",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-04-15","2.01",",,T","0.00",",,T","0.0",",,T","45",",,T","57",",,T","36",",,T","36",",,T","0.0",",,T","13.2",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-04-16","1.79",",,T","0.00",",,T","0.0",",,T","44",",,T","55",",,T","35",",,T","38",",,T","0.0",",,T","12.3",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-04-17","1.79",",,T","0.00",",,T","0.0",",,T","39",",,T","47",",,T","30",",,T","30",",,T","0.0",",,T","11.9",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-04-18","2.24",",,T","0.00",",,T","0.0",",,T","31",",,T","38",",,T","23",",,T","23",",,T","0.0",",,T","13.2",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-04-19","1.34",",,T","0.00",",,T","0.0",",,T","33",",,T","48",",,T","19",",,T","32",",,T","0.0",",,T","9.4",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-04-20","2.01",",,T","0.00",",,T","0.0",",,T","42",",,T","54",",,T","31",",,T","37",",,T","0.0",",,T","8.3",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-04-21","2.01",",,T","0.00",",,T","0.0",",,T","43",",,T","56",",,T","31",",,T","36",",,T","0.0",",,T","9.2",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-04-22","2.01",",,T","0.00",",,T","0.0",",,T","46",",,T","57",",,T","33",",,T","45",",,T","0.0",",,T","9.8",",,T"
